n
"(:Marca {id: brand_1,nombre: Toyota})"
"(:Marca {id: brand_2,nombre: Bugatti})"
"(:Marca {id: brand_3,nombre: Ford})"
"(:Marca {id: brand_4,nombre: Tesla})"
"(:Marca {id: brand_5,nombre: BMW})"
"(:Marca {id: brand_6,nombre: Audi})"
"(:Marca {id: brand_7,nombre: Chevrolet})"
"(:Marca {id: brand_8,nombre: Honda})"
"(:Marca {id: brand_9,nombre: Mercedes-Benz})"
"(:Marca {id: brand_10,nombre: Hyundai})"
"(:Marca {id: brand_11,nombre: Kia})"
"(:Marca {id: brand_12,nombre: Mazda})"
"(:Marca {id: brand_13,nombre: Volkswagen})"
"(:Marca {id: brand_14,nombre: Nissan})"
"(:Marca {id: brand_15,nombre: Lamborghini})"
"(:Marca {id: brand_16,nombre: Ferrari})"
"(:Marca {id: brand_17,nombre: Porsche})"
"(:Marca {id: brand_18,nombre: Jeep})"
"(:Marca {id: brand_19,nombre: Subaru})"
"(:Marca {id: brand_20,nombre: Peugeot})"
"(:Marca {id: brand_21,nombre: Renault})"
"(:Marca {id: brand_22,nombre: Mitsubishi})"
"(:Marca {id: brand_23,nombre: Volvo})"
"(:Marca {id: brand_24,nombre: Jaguar})"
"(:Marca {id: brand_25,nombre: Land Rover})"
"(:Tipo {categoria: Sedán,id: type_1})"
"(:Tipo {categoria: SUV,id: type_2})"
"(:Tipo {categoria: Hatchback,id: type_3})"
"(:Tipo {categoria: Coupé,id: type_4})"
"(:Tipo {categoria: Convertible,id: type_5})"
"(:Tipo {categoria: Pickup,id: type_6})"
"(:Tipo {categoria: Van,id: type_7})"
"(:Tipo {categoria: Wagon,id: type_8})"
"(:Tipo {categoria: Crossover,id: type_9})"
"(:Tipo {categoria: Minivan,id: type_10})"
"(:Tipo {categoria: Off-Road,id: type_11})"
"(:Tipo {categoria: Deportivo,id: type_12})"
"(:Tipo {categoria: Lujo,id: type_13})"
"(:Tipo {categoria: Compacto,id: type_14})"
"(:Tipo {categoria: Subcompacto,id: type_15})"
"(:Combustible {tipo: Gasolina,id: fuel_1})"
"(:Combustible {tipo: Diésel,id: fuel_2})"
"(:Combustible {tipo: Eléctrico,id: fuel_3})"
"(:Combustible {tipo: Híbrido,id: fuel_4})"
"(:Combustible {tipo: Gas Natural,id: fuel_5})"
"(:Transmision {tipo: Automática,id: trans_1})"
"(:Transmision {tipo: Manual,id: trans_2})"
"(:Concesionario {direccion: Calle 123, Ciudad A,id: dealer_1,nombre: Concesionario Central})"
"(:Concesionario {direccion: Avenida XYZ, Ciudad B,id: dealer_2,nombre: Autos Premium})"
"(:Concesionario {direccion: Boulevard 45, Ciudad C,id: dealer_3,nombre: Super Autos})"
"(:Concesionario {direccion: Ruta 66, Ciudad D,id: dealer_4,nombre: El Garage})"
"(:Concesionario {direccion: Calle Principal 10, Ciudad E,id: dealer_5,nombre: Ruedas del Sur})"
"(:Usuario {presupuesto_max: 0.0,edad: 0})"
"(:Auto {precio: 96834.0,id: car_1,modelo: Corolla,año: 2021})"
"(:Auto {precio: 82196.0,id: car_2,modelo: Corolla,año: 2022})"
"(:Auto {precio: 84035.0,id: car_3,modelo: Camry,año: 2022})"
"(:Auto {precio: 74024.0,id: car_4,modelo: Camry,año: 2023})"
"(:Auto {precio: 66939.0,id: car_5,modelo: RAV4,año: 2024})"
"(:Auto {precio: 90219.0,id: car_6,modelo: RAV4,año: 2022})"
"(:Auto {precio: 28957.0,id: car_7,modelo: Highlander,año: 2023})"
"(:Auto {precio: 68306.0,id: car_8,modelo: Highlander,año: 2022})"
"(:Auto {precio: 730072.0,id: car_9,modelo: Chiron,año: 2024})"
"(:Auto {precio: 2786701.0,id: car_10,modelo: Chiron,año: 2023})"
"(:Auto {precio: 2478782.0,id: car_11,modelo: Veyron,año: 2021})"
"(:Auto {precio: 2280817.0,id: car_12,modelo: Veyron,año: 2023})"
"(:Auto {precio: 82923.0,id: car_13,modelo: Mustang,año: 2021})"
"(:Auto {precio: 34416.0,id: car_14,modelo: Mustang,año: 2021})"
"(:Auto {precio: 49684.0,id: car_15,modelo: F-150,año: 2021})"
"(:Auto {precio: 34860.0,id: car_16,modelo: F-150,año: 2021})"
"(:Auto {precio: 66081.0,id: car_17,modelo: Explorer,año: 2022})"
"(:Auto {precio: 37824.0,id: car_18,modelo: Explorer,año: 2021})"
"(:Auto {precio: 80048.0,id: car_19,modelo: Model S,año: 2022})"
"(:Auto {precio: 56779.0,id: car_20,modelo: Model S,año: 2023})"
"(:Auto {precio: 35432.0,id: car_21,modelo: Model 3,año: 2023})"
"(:Auto {precio: 38579.0,id: car_22,modelo: Model 3,año: 2024})"
"(:Auto {precio: 68566.0,id: car_23,modelo: Model X,año: 2021})"
"(:Auto {precio: 42063.0,id: car_24,modelo: Model X,año: 2021})"
"(:Auto {precio: 47502.0,id: car_25,modelo: Model Y,año: 2022})"
"(:Auto {precio: 78110.0,id: car_26,modelo: Model Y,año: 2022})"
